card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
LAM-000121,LAMBDA,122,RippleMechanical LAMX,Mechanical,Aqua,ASTRUM DIVISION,361,39,6,9,25,DIVINE.TIDE.BIND,DIVINE.TIDE.DRAIN,DIVINE.RIPPLE.WARD,DIVINE.SURGE.WARD,DIVINE.TORRENT.SHIELD,DIVINE.SURGE.RUSH,DIVINE.TORRENT.RUSH,DIVINE.RIPPLE.SHIELD,DIVINE.TIDE.RUSH,[LAMBDA] CSI=24,,NyxGen,aqua
OME-000122,OMEGA,123,RootMechanical OMEX,Angelic,Wood,ASTRUM DIVISION,8957,796,114,112,691,DIVINE.VINE.CATALYST,DIVINE.VINE.CHARGE,DIVINE.THORN.WARD,DIVINE.THORN.BIND,DIVINE.THORN.BIND,DIVINE.ROOT.BOOST,DIVINE.THORN.BIND,DIVINE.THORN.BOOST,DIVINE.BLOOM.BOOST,[OMEGA] CSI=90,,NyxGen,wood
XI-000123,XI,124,EclipseMechanical XIX,Angelic,Void,LUMINA SECT,82,12,5,4,9,DIVINE.ECLIPSE.CHARGE,DIVINE.RIFT.RUSH,DIVINE.NULL.RUSH,DIVINE.NULL.CHARGE,DIVINE.ECLIPSE.WARD,DIVINE.UMBRAL.CATALYST,DIVINE.ABYSS.BOOST,DIVINE.UMBRAL.RUSH,DIVINE.RIFT.WARD,[XI] CSI=14,,NyxGen,void
IOT-000124,IOTA,125,EmberMechanical IOTX,Angelic,Fire,GEAR SECT,883,48,17,19,70,DIVINE.EMBER.STRIKE,DIVINE.BLAZE.CHARGE,DIVINE.EMBER.CATALYST,DIVINE.EMBER.WARD,DIVINE.EMBER.DRAIN,DIVINE.EMBER.CATALYST,DIVINE.FLARE.WARD,DIVINE.BLAZE.CHARGE,DIVINE.FLARE.WARD,[IOTA] CSI=27,,NyxGen,fire
IOT-000125,IOTA,126,RippleMechanical IOTX,Angelic,Aqua,LUMINA SECT,765,51,12,12,44,DIVINE.TIDE.STRIKE,DIVINE.MIST.BOOST,DIVINE.MIST.RUSH,DIVINE.MIST.WARD,DIVINE.MIST.CATALYST,DIVINE.TIDE.CATALYST,DIVINE.RIPPLE.BIND,DIVINE.MIST.STRIKE,DIVINE.SURGE.WARD,[IOTA] CSI=30,,NyxGen,aqua
OME-000126,OMEGA,127,FlareMechanical OMEX,Viral,Fire,PROTOCOL DIVISION,10165,784,112,94,782,DIVINE.FLARE.CHARGE,DIVINE.EMBER.RUSH,DIVINE.EMBER.CATALYST,DIVINE.FLARE.RUSH,DIVINE.PYRE.SHIELD,DIVINE.FLARE.STRIKE,DIVINE.EMBER.BOOST,DIVINE.PYRE.BOOST,DIVINE.FLARE.CHARGE,[OMEGA] CSI=96,,NyxGen,fire
IOT-000127,IOTA,128,CinderMechanical IOTX,Viral,Fire,ABYSSAL CABAL,748,47,15,16,57,DIVINE.EMBER.STRIKE,DIVINE.CINDER.RUSH,DIVINE.FLARE.WARD,DIVINE.BLAZE.DRAIN,DIVINE.BLAZE.BIND,DIVINE.PYRE.CATALYST,DIVINE.PYRE.CATALYST,DIVINE.FLARE.DRAIN,DIVINE.EMBER.BOOST,[IOTA] CSI=30,,NyxGen,fire
OMI-000128,OMICRON,129,LumenMechanical OMIX,Demonic,Holy,CORRUPTED SECTOR,112,7,5,3,6,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.CATALYST,DIVINE.SANCT.SHIELD,DIVINE.RADIANCE.STRIKE,DIVINE.HALO.CHARGE,DIVINE.SERA.CATALYST,DIVINE.SERA.BOOST,DIVINE.RADIANCE.CHARGE,DIVINE.RADIANCE.CATALYST,[OMICRON] CSI=0,,NyxGen,holy
KAP-000129,KAPPA,130,EmberMechanical KAPX,Angelic,Fire,ASTRUM DIVISION,490,33,14,13,29,DIVINE.FLARE.CHARGE,DIVINE.EMBER.DRAIN,DIVINE.CINDER.STRIKE,DIVINE.BLAZE.STRIKE,DIVINE.EMBER.CATALYST,DIVINE.PYRE.CATALYST,DIVINE.PYRE.CHARGE,DIVINE.CINDER.DRAIN,DIVINE.PYRE.BIND,[KAPPA] CSI=22,,NyxGen,fire
OMI-000130,OMICRON,131,SeraMechanical OMIX,Viral,Holy,CORRUPTED SECTOR,58,7,4,4,11,DIVINE.HALO.BOOST,DIVINE.SANCT.SHIELD,DIVINE.HALO.SHIELD,DIVINE.RADIANCE.STRIKE,DIVINE.SERA.CHARGE,DIVINE.SANCT.BOOST,DIVINE.HALO.CATALYST,DIVINE.SANCT.BOOST,DIVINE.HALO.RUSH,[OMICRON] CSI=0,,NyxGen,holy
ALP-000131,ALPHA,132,TideMechanical ALPX,Demonic,Aqua,GEAR SECT,7520,573,86,80,584,DIVINE.TIDE.WARD,DIVINE.MIST.BOOST,DIVINE.TORRENT.RUSH,DIVINE.TIDE.CATALYST,DIVINE.SURGE.SHIELD,DIVINE.MIST.CATALYST,DIVINE.TORRENT.CATALYST,DIVINE.SURGE.BIND,DIVINE.SURGE.CHARGE,[ALPHA] CSI=91,,NyxGen,aqua
OMI-000132,OMICRON,133,NullMechanical OMIX,Mechanical,Void,ABYSSAL CABAL,95,8,2,4,10,DIVINE.NULL.SHIELD,DIVINE.NULL.STRIKE,DIVINE.RIFT.CHARGE,DIVINE.RIFT.BOOST,DIVINE.NULL.CATALYST,DIVINE.NULL.DRAIN,DIVINE.ECLIPSE.DRAIN,DIVINE.ABYSS.RUSH,DIVINE.NULL.BIND,[OMICRON] CSI=6,,NyxGen,void
OMI-000133,OMICRON,134,HaloMechanical OMIX,Demonic,Holy,GEAR SECT,102,5,2,5,11,DIVINE.SANCT.WARD,DIVINE.SERA.RUSH,DIVINE.SANCT.WARD,DIVINE.SANCT.SHIELD,DIVINE.SANCT.STRIKE,DIVINE.LUMEN.RUSH,DIVINE.RADIANCE.WARD,DIVINE.RADIANCE.BOOST,DIVINE.LUMEN.SHIELD,[OMICRON] CSI=9,,NyxGen,holy
XI-000134,XI,135,PyreMechanical XIX,Mechanical,Fire,CORRUPTED SECTOR,123,14,3,5,14,DIVINE.FLARE.RUSH,DIVINE.CINDER.CHARGE,DIVINE.EMBER.BIND,DIVINE.FLARE.BIND,DIVINE.CINDER.SHIELD,DIVINE.FLARE.CHARGE,DIVINE.BLAZE.STRIKE,DIVINE.BLAZE.WARD,DIVINE.EMBER.BIND,[XI] CSI=3,,NyxGen,fire
OME-000135,OMEGA,136,CinderMechanical OMEX,Viral,Fire,CORRUPTED SECTOR,10017,777,91,126,791,DIVINE.PYRE.DRAIN,DIVINE.FLARE.BOOST,DIVINE.BLAZE.RUSH,DIVINE.FLARE.SHIELD,DIVINE.CINDER.BIND,DIVINE.BLAZE.DRAIN,DIVINE.EMBER.WARD,DIVINE.PYRE.SHIELD,DIVINE.BLAZE.CHARGE,[OMEGA] CSI=89,,NyxGen,fire
MU-000136,MU,137,UmbralMechanical MUX,Angelic,Void,IRON CORTEX,235,22,6,8,26,DIVINE.ABYSS.RUSH,DIVINE.NULL.WARD,DIVINE.ECLIPSE.DRAIN,DIVINE.UMBRAL.CHARGE,DIVINE.NULL.WARD,DIVINE.NULL.DRAIN,DIVINE.ABYSS.DRAIN,DIVINE.UMBRAL.BIND,DIVINE.NULL.CHARGE,[MU] CSI=15,,NyxGen,void
XI-000137,XI,138,RadianceMechanical XIX,Demonic,Holy,IRON CORTEX,120,8,6,5,9,DIVINE.SANCT.BIND,DIVINE.RADIANCE.DRAIN,DIVINE.LUMEN.STRIKE,DIVINE.RADIANCE.WARD,DIVINE.HALO.BOOST,DIVINE.LUMEN.WARD,DIVINE.LUMEN.RUSH,DIVINE.HALO.BOOST,DIVINE.HALO.WARD,[XI] CSI=5,,NyxGen,holy
NU-000138,NU,139,BarkMechanical NUX,Viral,Wood,IRON CORTEX,192,15,7,7,14,DIVINE.BARK.SHIELD,DIVINE.BLOOM.STRIKE,DIVINE.ROOT.RUSH,DIVINE.ROOT.CHARGE,DIVINE.ROOT.CHARGE,DIVINE.BARK.SHIELD,DIVINE.ROOT.BIND,DIVINE.BARK.BIND,DIVINE.VINE.CHARGE,[NU] CSI=14,,NyxGen,wood
ETA-000139,ETA,140,TideMechanical ETAX,Demonic,Aqua,INFECTION VECTOR,1478,143,21,23,134,DIVINE.RIPPLE.DRAIN,DIVINE.TORRENT.CATALYST,DIVINE.SURGE.RUSH,DIVINE.TORRENT.SHIELD,DIVINE.SURGE.DRAIN,DIVINE.SURGE.RUSH,DIVINE.MIST.STRIKE,DIVINE.RIPPLE.SHIELD,DIVINE.MIST.DRAIN,[ETA] CSI=36,,NyxGen,aqua
KAP-000140,KAPPA,141,SurgeMechanical KAPX,Angelic,Elec,PROTOCOL DIVISION,357,51,8,12,57,DIVINE.SURGE.RUSH,DIVINE.SURGE.RUSH,DIVINE.BOLT.STRIKE,DIVINE.VOLT.BOOST,DIVINE.ARC.BIND,DIVINE.VOLT.WARD,DIVINE.BOLT.CHARGE,DIVINE.VOLT.CHARGE,DIVINE.VOLT.RUSH,[KAPPA] CSI=31,,NyxGen,elec
IOT-000141,IOTA,142,LumenMechanical IOTX,Demonic,Holy,IRON CORTEX,583,40,17,14,61,DIVINE.SERA.BOOST,DIVINE.HALO.BOOST,DIVINE.LUMEN.WARD,DIVINE.SERA.DRAIN,DIVINE.LUMEN.RUSH,DIVINE.SANCT.STRIKE,DIVINE.HALO.SHIELD,DIVINE.SANCT.CHARGE,DIVINE.SERA.BOOST,[IOTA] CSI=25,,NyxGen,holy
DEL-000142,DELTA,143,NullMechanical DELX,Demonic,Void,LUMINA SECT,3386,298,41,55,233,DIVINE.RIFT.BOOST,DIVINE.NULL.BIND,DIVINE.ECLIPSE.SHIELD,DIVINE.RIFT.SHIELD,DIVINE.NULL.WARD,DIVINE.ECLIPSE.STRIKE,DIVINE.ECLIPSE.CATALYST,DIVINE.ABYSS.STRIKE,DIVINE.NULL.WARD,[DELTA] CSI=68,,NyxGen,void
BET-000143,BETA,144,SanctMechanical BETX,Demonic,Holy,ABYSSAL CABAL,5686,613,74,70,355,DIVINE.SERA.WARD,DIVINE.LUMEN.BIND,DIVINE.HALO.STRIKE,DIVINE.SANCT.DRAIN,DIVINE.SERA.BIND,DIVINE.HALO.CATALYST,DIVINE.RADIANCE.RUSH,DIVINE.LUMEN.WARD,DIVINE.SERA.CATALYST,[BETA] CSI=81,,NyxGen,holy
OMI-000144,OMICRON,145,UmbralMechanical OMIX,Mechanical,Void,LUMINA SECT,107,9,5,5,9,DIVINE.NULL.RUSH,DIVINE.RIFT.RUSH,DIVINE.ECLIPSE.BIND,DIVINE.RIFT.DRAIN,DIVINE.ABYSS.CHARGE,DIVINE.RIFT.WARD,DIVINE.NULL.DRAIN,DIVINE.ABYSS.SHIELD,DIVINE.UMBRAL.CHARGE,[OMICRON] CSI=0,,NyxGen,void
MU-000145,MU,146,FlareMechanical MUX,Mechanical,Fire,VOID CULT,199,29,7,9,16,DIVINE.BLAZE.RUSH,DIVINE.BLAZE.SHIELD,DIVINE.PYRE.RUSH,DIVINE.EMBER.RUSH,DIVINE.PYRE.CATALYST,DIVINE.CINDER.WARD,DIVINE.PYRE.CATALYST,DIVINE.CINDER.SHIELD,DIVINE.CINDER.RUSH,[MU] CSI=22,,NyxGen,fire
KAP-000146,KAPPA,147,MistMechanical KAPX,Demonic,Aqua,SYNTHETIC NETWORK,632,41,14,12,51,DIVINE.SURGE.RUSH,DIVINE.SURGE.CHARGE,DIVINE.MIST.DRAIN,DIVINE.TORRENT.WARD,DIVINE.TORRENT.RUSH,DIVINE.MIST.DRAIN,DIVINE.TORRENT.BOOST,DIVINE.SURGE.DRAIN,DIVINE.RIPPLE.STRIKE,[KAPPA] CSI=25,,NyxGen,aqua
OMI-000147,OMICRON,148,MistMechanical OMIX,Mechanical,Aqua,LUMINA SECT,101,9,5,3,6,DIVINE.SURGE.SHIELD,DIVINE.RIPPLE.CHARGE,DIVINE.MIST.DRAIN,DIVINE.TIDE.BOOST,DIVINE.TORRENT.RUSH,DIVINE.SURGE.BOOST,DIVINE.TORRENT.BOOST,DIVINE.TIDE.RUSH,DIVINE.SURGE.SHIELD,[OMICRON] CSI=8,,NyxGen,aqua
NU-000148,NU,149,SparkMechanical NUX,Viral,Elec,CORRUPTED SECTOR,247,13,4,6,12,DIVINE.VOLT.BOOST,DIVINE.SURGE.STRIKE,DIVINE.SPARK.STRIKE,DIVINE.BOLT.BIND,DIVINE.BOLT.SHIELD,DIVINE.VOLT.BIND,DIVINE.VOLT.CATALYST,DIVINE.SPARK.WARD,DIVINE.SURGE.STRIKE,[NU] CSI=12,,NyxGen,elec
ZET-000149,ZETA,150,SanctMechanical ZETX,Viral,Holy,VOID CULT,1586,120,35,27,143,DIVINE.LUMEN.CATALYST,DIVINE.RADIANCE.DRAIN,DIVINE.LUMEN.CATALYST,DIVINE.SERA.BIND,DIVINE.LUMEN.WARD,DIVINE.RADIANCE.BIND,DIVINE.LUMEN.BOOST,DIVINE.RADIANCE.CATALYST,DIVINE.SANCT.BIND,[ZETA] CSI=46,,NyxGen,holy
ETA-000150,ETA,151,TorrentMechanical ETAX,Viral,Aqua,PROTOCOL DIVISION,1085,107,23,28,83,DIVINE.MIST.BIND,DIVINE.MIST.CHARGE,DIVINE.SURGE.WARD,DIVINE.RIPPLE.BIND,DIVINE.SURGE.CATALYST,DIVINE.MIST.BIND,DIVINE.TIDE.SHIELD,DIVINE.TORRENT.CHARGE,DIVINE.MIST.SHIELD,[ETA] CSI=36,,NyxGen,aqua
XI-000151,XI,152,MistMechanical XIX,Angelic,Aqua,LUMINA SECT,153,11,6,5,14,DIVINE.RIPPLE.DRAIN,DIVINE.TIDE.RUSH,DIVINE.TORRENT.DRAIN,DIVINE.TIDE.CATALYST,DIVINE.RIPPLE.SHIELD,DIVINE.TIDE.WARD,DIVINE.TIDE.DRAIN,DIVINE.TORRENT.CATALYST,DIVINE.TORRENT.DRAIN,[XI] CSI=7,,NyxGen,aqua
LAM-000152,LAMBDA,153,EclipseMechanical LAMX,Demonic,Void,ROT CLUSTER,477,39,8,12,33,DIVINE.RIFT.DRAIN,DIVINE.RIFT.BIND,DIVINE.ABYSS.STRIKE,DIVINE.RIFT.WARD,DIVINE.UMBRAL.BOOST,DIVINE.ABYSS.BIND,DIVINE.ABYSS.WARD,DIVINE.NULL.RUSH,DIVINE.ABYSS.CATALYST,[LAMBDA] CSI=17,,NyxGen,void
OMI-000153,OMICRON,154,HaloMechanical OMIX,Demonic,Holy,IRON CORTEX,120,10,5,3,10,DIVINE.SANCT.WARD,DIVINE.SANCT.BOOST,DIVINE.LUMEN.BIND,DIVINE.RADIANCE.DRAIN,DIVINE.SANCT.BIND,DIVINE.HALO.CATALYST,DIVINE.RADIANCE.SHIELD,DIVINE.SERA.BIND,DIVINE.LUMEN.STRIKE,[OMICRON] CSI=0,,NyxGen,holy
EPS-000154,EPSILON,155,RootMechanical EPSX,Mechanical,Wood,INFECTION VECTOR,2631,211,45,32,197,DIVINE.ROOT.DRAIN,DIVINE.BARK.RUSH,DIVINE.ROOT.WARD,DIVINE.VINE.BIND,DIVINE.THORN.DRAIN,DIVINE.BLOOM.BOOST,DIVINE.BARK.BOOST,DIVINE.ROOT.BOOST,DIVINE.THORN.CHARGE,[EPSILON] CSI=61,,NyxGen,wood
DEL-000155,DELTA,156,GaleMechanical DELX,Angelic,Wind,HALO CORE,3455,296,54,42,288,DIVINE.GALE.CATALYST,DIVINE.ZEPHYR.STRIKE,DIVINE.BREEZE.SHIELD,DIVINE.GALE.BOOST,DIVINE.DRAFT.STRIKE,DIVINE.ZEPHYR.CHARGE,DIVINE.DRAFT.SHIELD,DIVINE.GALE.WARD,DIVINE.SQUALL.STRIKE,[DELTA] CSI=59,,NyxGen,wind
ALP-000156,ALPHA,157,FlareMechanical ALPX,Demonic,Fire,HALO CORE,8396,606,99,102,532,DIVINE.FLARE.CHARGE,DIVINE.FLARE.BOOST,DIVINE.CINDER.CHARGE,DIVINE.FLARE.DRAIN,DIVINE.EMBER.CHARGE,DIVINE.FLARE.STRIKE,DIVINE.BLAZE.RUSH,DIVINE.PYRE.STRIKE,DIVINE.FLARE.DRAIN,[ALPHA] CSI=86,,NyxGen,fire
ETA-000157,ETA,158,ThornMechanical ETAX,Demonic,Wood,GEAR SECT,1286,93,28,31,98,DIVINE.VINE.BOOST,DIVINE.THORN.DRAIN,DIVINE.BARK.STRIKE,DIVINE.BARK.SHIELD,DIVINE.BLOOM.DRAIN,DIVINE.BLOOM.WARD,DIVINE.VINE.SHIELD,DIVINE.ROOT.DRAIN,DIVINE.BARK.SHIELD,[ETA] CSI=41,,NyxGen,wood
OME-000158,OMEGA,159,MistMechanical OMEX,Angelic,Aqua,PHAGE CELL,11195,956,87,125,929,DIVINE.TORRENT.RUSH,DIVINE.TIDE.SHIELD,DIVINE.RIPPLE.CHARGE,DIVINE.TIDE.DRAIN,DIVINE.MIST.CHARGE,DIVINE.RIPPLE.CATALYST,DIVINE.MIST.RUSH,DIVINE.MIST.STRIKE,DIVINE.MIST.RUSH,[OMEGA] CSI=94,,NyxGen,aqua
DEL-000159,DELTA,160,UmbralMechanical DELX,Mechanical,Void,CORRUPTED SECTOR,3174,324,42,48,186,DIVINE.ABYSS.CHARGE,DIVINE.ABYSS.CHARGE,DIVINE.UMBRAL.CATALYST,DIVINE.ECLIPSE.BIND,DIVINE.RIFT.SHIELD,DIVINE.UMBRAL.CATALYST,DIVINE.NULL.RUSH,DIVINE.UMBRAL.RUSH,DIVINE.UMBRAL.CATALYST,[DELTA] CSI=68,,NyxGen,void
EPS-000160,EPSILON,161,VineMechanical EPSX,Angelic,Wood,ASTRUM DIVISION,2208,266,28,43,190,DIVINE.BLOOM.CATALYST,DIVINE.ROOT.BIND,DIVINE.ROOT.BIND,DIVINE.ROOT.CHARGE,DIVINE.BARK.CHARGE,DIVINE.VINE.WARD,DIVINE.ROOT.CHARGE,DIVINE.BARK.BOOST,DIVINE.THORN.WARD,[EPSILON] CSI=55,,NyxGen,wood
XI-000161,XI,162,RiftMechanical XIX,Demonic,Void,PHAGE CELL,153,13,4,5,17,DIVINE.UMBRAL.WARD,DIVINE.NULL.DRAIN,DIVINE.NULL.CATALYST,DIVINE.ABYSS.BOOST,DIVINE.UMBRAL.CATALYST,DIVINE.RIFT.CATALYST,DIVINE.RIFT.WARD,DIVINE.NULL.BIND,DIVINE.ABYSS.DRAIN,[XI] CSI=2,,NyxGen,void
EPS-000162,EPSILON,163,SurgeMechanical EPSX,Angelic,Aqua,ABYSSAL CABAL,3165,244,37,49,174,DIVINE.MIST.RUSH,DIVINE.SURGE.BIND,DIVINE.SURGE.CATALYST,DIVINE.TIDE.RUSH,DIVINE.MIST.RUSH,DIVINE.MIST.DRAIN,DIVINE.MIST.STRIKE,DIVINE.TORRENT.CATALYST,DIVINE.MIST.BIND,[EPSILON] CSI=53,,NyxGen,aqua
BET-000163,BETA,164,PyreMechanical BETX,Demonic,Fire,ABYSSAL CABAL,7057,477,69,68,529,DIVINE.PYRE.RUSH,DIVINE.CINDER.STRIKE,DIVINE.FLARE.RUSH,DIVINE.FLARE.CHARGE,DIVINE.BLAZE.BOOST,DIVINE.CINDER.SHIELD,DIVINE.BLAZE.CHARGE,DIVINE.BLAZE.RUSH,DIVINE.BLAZE.CHARGE,[BETA] CSI=74,,NyxGen,fire
ZET-000164,ZETA,165,CinderMechanical ZETX,Demonic,Fire,VOID CULT,2185,180,26,34,118,DIVINE.BLAZE.BOOST,DIVINE.PYRE.CHARGE,DIVINE.EMBER.BIND,DIVINE.EMBER.CATALYST,DIVINE.CINDER.BIND,DIVINE.PYRE.DRAIN,DIVINE.BLAZE.STRIKE,DIVINE.EMBER.STRIKE,DIVINE.CINDER.WARD,[ZETA] CSI=42,,NyxGen,fire
OME-000165,OMEGA,166,BreezeMechanical OMEX,Demonic,Wind,ASTRUM DIVISION,10915,746,110,105,790,DIVINE.DRAFT.BIND,DIVINE.BREEZE.CHARGE,DIVINE.BREEZE.RUSH,DIVINE.GALE.SHIELD,DIVINE.DRAFT.BOOST,DIVINE.GALE.CATALYST,DIVINE.DRAFT.RUSH,DIVINE.GALE.SHIELD,DIVINE.DRAFT.RUSH,[OMEGA] CSI=87,,NyxGen,wind
LAM-000166,LAMBDA,167,GaleMechanical LAMX,Viral,Wind,ABYSSAL CABAL,499,30,7,12,18,DIVINE.DRAFT.SHIELD,DIVINE.SQUALL.CATALYST,DIVINE.DRAFT.CHARGE,DIVINE.ZEPHYR.RUSH,DIVINE.ZEPHYR.CHARGE,DIVINE.DRAFT.CHARGE,DIVINE.DRAFT.STRIKE,DIVINE.BREEZE.WARD,DIVINE.ZEPHYR.BOOST,[LAMBDA] CSI=22,,NyxGen,wind
LAM-000167,LAMBDA,168,CinderMechanical LAMX,Viral,Fire,PHAGE CELL,472,22,8,11,26,DIVINE.BLAZE.CATALYST,DIVINE.EMBER.BOOST,DIVINE.BLAZE.BOOST,DIVINE.PYRE.CHARGE,DIVINE.PYRE.CATALYST,DIVINE.FLARE.DRAIN,DIVINE.PYRE.CATALYST,DIVINE.BLAZE.CATALYST,DIVINE.PYRE.SHIELD,[LAMBDA] CSI=19,,NyxGen,fire
DEL-000168,DELTA,169,SquallMechanical DELX,Angelic,Wind,GEAR SECT,2831,316,44,60,307,DIVINE.SQUALL.BOOST,DIVINE.ZEPHYR.CHARGE,DIVINE.ZEPHYR.STRIKE,DIVINE.DRAFT.STRIKE,DIVINE.SQUALL.SHIELD,DIVINE.ZEPHYR.RUSH,DIVINE.SQUALL.BOOST,DIVINE.DRAFT.CHARGE,DIVINE.ZEPHYR.STRIKE,[DELTA] CSI=69,,NyxGen,wind
THE-000169,THETA,170,MistMechanical THEX,Angelic,Aqua,ASTRUM DIVISION,928,72,14,23,95,DIVINE.MIST.DRAIN,DIVINE.TIDE.SHIELD,DIVINE.MIST.SHIELD,DIVINE.TIDE.CATALYST,DIVINE.SURGE.WARD,DIVINE.TIDE.WARD,DIVINE.TIDE.DRAIN,DIVINE.TORRENT.CATALYST,DIVINE.TORRENT.CHARGE,[THETA] CSI=42,,NyxGen,aqua
MU-000170,MU,171,MistMechanical MUX,Angelic,Aqua,VOID CULT,339,28,7,8,15,DIVINE.MIST.DRAIN,DIVINE.RIPPLE.BOOST,DIVINE.TORRENT.BIND,DIVINE.RIPPLE.WARD,DIVINE.TIDE.CHARGE,DIVINE.TIDE.RUSH,DIVINE.MIST.SHIELD,DIVINE.RIPPLE.DRAIN,DIVINE.SURGE.BOOST,[MU] CSI=11,,NyxGen,aqua
KAP-000171,KAPPA,172,TideMechanical KAPX,Angelic,Aqua,INFECTION VECTOR,434,36,14,10,37,DIVINE.RIPPLE.DRAIN,DIVINE.MIST.STRIKE,DIVINE.TORRENT.BOOST,DIVINE.MIST.BIND,DIVINE.SURGE.STRIKE,DIVINE.TORRENT.CHARGE,DIVINE.MIST.BOOST,DIVINE.MIST.CHARGE,DIVINE.TIDE.WARD,[KAPPA] CSI=25,,NyxGen,aqua
MU-000172,MU,173,PyreMechanical MUX,Mechanical,Fire,GEAR SECT,220,29,9,9,10,DIVINE.BLAZE.SHIELD,DIVINE.FLARE.BIND,DIVINE.PYRE.DRAIN,DIVINE.PYRE.STRIKE,DIVINE.CINDER.BOOST,DIVINE.CINDER.CHARGE,DIVINE.EMBER.SHIELD,DIVINE.PYRE.WARD,DIVINE.CINDER.SHIELD,[MU] CSI=13,,NyxGen,fire
LAM-000173,LAMBDA,174,SanctMechanical LAMX,Demonic,Holy,ROT CLUSTER,304,31,9,12,27,DIVINE.RADIANCE.SHIELD,DIVINE.LUMEN.BIND,DIVINE.SERA.RUSH,DIVINE.SERA.DRAIN,DIVINE.SERA.CATALYST,DIVINE.HALO.DRAIN,DIVINE.SANCT.BIND,DIVINE.SERA.BIND,DIVINE.HALO.DRAIN,[LAMBDA] CSI=22,,NyxGen,holy
MU-000174,MU,175,RippleMechanical MUX,Demonic,Aqua,HALO CORE,315,24,9,8,15,DIVINE.RIPPLE.BIND,DIVINE.TORRENT.SHIELD,DIVINE.SURGE.BIND,DIVINE.TORRENT.WARD,DIVINE.TORRENT.CATALYST,DIVINE.MIST.BIND,DIVINE.MIST.WARD,DIVINE.SURGE.STRIKE,DIVINE.TIDE.SHIELD,[MU] CSI=10,,NyxGen,aqua
IOT-000175,IOTA,176,ThornMechanical IOTX,Mechanical,Wood,GEAR SECT,663,61,18,19,74,DIVINE.VINE.DRAIN,DIVINE.VINE.DRAIN,DIVINE.ROOT.BOOST,DIVINE.BARK.CHARGE,DIVINE.ROOT.WARD,DIVINE.BARK.SHIELD,DIVINE.THORN.DRAIN,DIVINE.THORN.WARD,DIVINE.BLOOM.BIND,[IOTA] CSI=31,,NyxGen,wood
OME-000176,OMEGA,177,SurgeMechanical OMEX,Mechanical,Aqua,LUMINA SECT,11755,983,102,128,641,DIVINE.RIPPLE.BIND,DIVINE.TORRENT.BIND,DIVINE.MIST.WARD,DIVINE.MIST.CHARGE,DIVINE.MIST.WARD,DIVINE.SURGE.BIND,DIVINE.TIDE.BOOST,DIVINE.TIDE.STRIKE,DIVINE.TIDE.WARD,[OMEGA] CSI=89,,NyxGen,aqua
THE-000177,THETA,178,VineMechanical THEX,Demonic,Wood,HALO CORE,1126,90,18,17,84,DIVINE.THORN.RUSH,DIVINE.BLOOM.DRAIN,DIVINE.THORN.CHARGE,DIVINE.ROOT.SHIELD,DIVINE.BARK.WARD,DIVINE.VINE.WARD,DIVINE.THORN.WARD,DIVINE.ROOT.CATALYST,DIVINE.VINE.BIND,[THETA] CSI=33,,NyxGen,wood
LAM-000178,LAMBDA,179,SparkMechanical LAMX,Demonic,Elec,LUMINA SECT,488,37,8,11,35,DIVINE.BOLT.BOOST,DIVINE.SPARK.CHARGE,DIVINE.ARC.STRIKE,DIVINE.ARC.WARD,DIVINE.BOLT.WARD,DIVINE.SURGE.STRIKE,DIVINE.SPARK.CATALYST,DIVINE.SURGE.BOOST,DIVINE.BOLT.CATALYST,[LAMBDA] CSI=24,,NyxGen,elec
THE-000179,THETA,180,CinderMechanical THEX,Mechanical,Fire,GEAR SECT,778,85,17,18,94,DIVINE.BLAZE.BIND,DIVINE.CINDER.CATALYST,DIVINE.FLARE.DRAIN,DIVINE.EMBER.CATALYST,DIVINE.CINDER.CATALYST,DIVINE.FLARE.SHIELD,DIVINE.EMBER.RUSH,DIVINE.PYRE.STRIKE,DIVINE.PYRE.SHIELD,[THETA] CSI=39,,NyxGen,fire
ETA-000180,ETA,181,RadianceMechanical ETAX,Angelic,Holy,SYNTHETIC NETWORK,1069,99,24,28,129,DIVINE.SERA.RUSH,DIVINE.RADIANCE.WARD,DIVINE.SERA.STRIKE,DIVINE.HALO.STRIKE,DIVINE.LUMEN.CATALYST,DIVINE.SANCT.DRAIN,DIVINE.HALO.BIND,DIVINE.HALO.STRIKE,DIVINE.HALO.SHIELD,[ETA] CSI=45,,NyxGen,holy
ETA-000181,ETA,182,LumenMechanical ETAX,Mechanical,Holy,PROTOCOL DIVISION,1208,100,25,23,72,DIVINE.SANCT.BIND,DIVINE.LUMEN.CHARGE,DIVINE.HALO.RUSH,DIVINE.HALO.RUSH,DIVINE.LUMEN.RUSH,DIVINE.HALO.DRAIN,DIVINE.RADIANCE.CHARGE,DIVINE.SERA.WARD,DIVINE.SANCT.SHIELD,[ETA] CSI=36,,NyxGen,holy
